,hsc_p,degree_p,etest_p,mba_p,salary,gender_F,gender_M,hsc_s_Arts,hsc_s_Commerce,hsc_s_Science,degree_t_Comm&Mgmt,degree_t_Others,degree_t_Sci&Tech,specialisation_Mkt&Fin,specialisation_Mkt&HR
0,0.8570514188180074,0.0571428571428571,0.1041666666666666,58.8,0.0945945945945946,False,True,False,True,False,False,False,True,False,True
1,0.5867292511201195,0.6137142857142859,0.7604166666666666,66.28,0.0,False,True,False,False,True,False,False,True,True,False
2,0.4090226245137384,0.2285714285714286,0.5208333333333333,57.8,0.0675675675675675,False,True,True,False,False,True,False,False,True,False
3,0.4858118199274588,0.4942857142857142,0.975,55.5,0.304054054054054,False,True,False,True,False,True,False,False,True,False
4,0.2809899722637081,0.2857142857142857,0.3541666666666666,62.14,0.0702702702702702,False,True,False,False,True,False,False,True,True,False
5,0.6010241092383188,0.4571428571428572,0.8612500000000001,61.29,0.0418918918918919,False,True,False,True,False,True,False,False,True,False
6,0.4090226245137384,0.1142857142857143,0.25,60.85,0.081081081081081,False,True,False,True,False,True,False,False,False,True
7,0.3748666524429274,0.6371428571428571,0.2083333333333333,63.7,0.0675675675675675,False,True,False,True,False,True,False,False,True,False
8,0.7717089822914445,0.0857142857142856,0.375,68.63,0.0243243243243243,True,False,False,True,False,True,False,False,True,False
9,0.515681672711756,0.3714285714285714,0.4583333333333333,64.66,0.0,True,False,False,True,False,True,False,False,True,False
10,0.3279283123533178,0.2742857142857141,0.2083333333333333,62.54,0.1351351351351351,False,True,False,True,False,True,False,False,True,False
11,0.3449967996586303,0.3637706511175899,0.0099999999999999,77.89,0.0486486486486486,False,True,True,False,False,True,False,False,True,False
12,0.3023255813953489,0.2857142857142857,0.0,56.7,0.0878378378378378,False,True,False,True,False,True,False,False,False,True
13,0.5370172818433967,0.8285714285714286,0.9375,69.06,0.2608108108108108,True,False,False,True,False,True,False,False,True,False
14,0.2127160230424578,0.4637142857142858,0.1152083333333333,68.81,0.2162162162162162,True,False,False,False,True,False,False,True,False,True
15,0.1956475357371453,0.2497142857142855,0.875,63.62,0.1351351351351351,True,False,False,False,True,False,False,True,True,False
16,1.0000000000000002,0.6531428571428572,0.9875,74.01,0.2162162162162162,False,True,False,False,True,False,False,True,True,False
17,0.6010241092383188,0.2857142857142857,0.9166666666666664,57.55,0.054054054054054,False,True,False,True,False,True,False,False,True,False
18,0.3449967996586303,0.2857142857142857,0.375,57.69,0.0878378378378378,False,True,False,True,False,True,False,False,False,True
19,0.5476850864092171,0.3285714285714286,0.4864583333333332,64.15,0.2027027027027027,False,True,False,True,False,True,False,False,True,False
20,0.4836782590142949,0.4857142857142857,0.0416666666666666,56.7,0.0675675675675675,True,False,False,True,False,True,False,False,False,True
21,0.6436953275016002,0.2971428571428573,0.0185416666666667,62.21,0.1054054054054054,True,False,False,True,False,True,False,False,False,True
22,0.3023255813953489,0.7142857142857144,0.7916666666666666,72.78,0.081081081081081,True,False,False,False,True,True,False,False,True,False
23,0.579688500106678,0.4571428571428572,0.4375,62.74,0.1351351351351351,True,False,False,True,False,True,False,False,False,True
24,0.5370172818433967,0.2742857142857141,0.1666666666666666,55.47,0.1621621621621621,True,False,False,False,True,False,False,True,False,True
25,0.1529763174738639,0.2857142857142857,0.0770833333333334,56.86,0.054054054054054,True,False,False,False,True,True,False,False,False,True
26,0.366332408790271,0.2285714285714286,0.8958333333333333,62.56,0.2851351351351351,False,True,False,False,True,False,False,True,True,False
27,0.5583528909750374,0.6857142857142857,0.2083333333333333,66.72,0.1175675675675675,True,False,False,True,False,True,False,False,True,False
28,0.7717089822914445,0.3428571428571428,0.9375,62.9,0.1351351351351351,False,True,False,True,False,True,False,False,False,True
29,0.4730104544484745,0.7142857142857144,0.8125,69.7,0.0,True,False,False,True,False,True,False,False,True,False
30,0.1956475357371453,0.0285714285714285,0.5833333333333333,54.55,0.0054054054054054,False,True,False,True,False,True,False,False,True,False
31,0.2383187540004267,0.3428571428571428,0.2916666666666666,62.46,0.0675675675675675,False,True,False,True,False,True,False,False,True,False
32,0.4772775762748028,0.3542857142857145,0.3125,62.98,0.0,True,False,False,False,True,True,False,False,False,True
33,0.4090036270535524,0.4571428571428572,0.7708333333333333,71.04,0.3378378378378378,False,True,False,False,True,False,False,True,False,True
34,0.1956475357371453,0.3714285714285714,0.4821018835616438,65.56,0.0216216216216216,True,False,False,False,True,True,False,False,False,True
35,0.3364625560059739,0.2571428571428572,0.4375,52.71,0.027027027027027,False,True,False,False,True,True,False,False,False,True
36,0.4388734798378495,0.1542857142857142,0.375,66.88,0.054054054054054,False,True,False,True,False,True,False,False,True,False
37,0.5370172818433967,0.5142857142857143,0.625,63.59,0.2162162162162162,False,True,False,True,False,True,False,False,True,False
38,0.2383187540004267,0.3428571428571428,0.5,57.99,0.0918918918918919,False,True,False,False,True,True,False,False,True,False
39,0.3147002346917005,0.4602857142857143,0.1583333333333333,56.66,0.0878378378378378,False,True,False,False,True,False,False,True,True,False
40,0.4090036270535524,0.4571428571428572,0.2083333333333333,57.24,0.081081081081081,False,True,False,False,True,True,False,False,True,False
41,0.481544698101131,0.3111428571428571,0.2416666666666667,62.48,0.1351351351351351,False,True,False,True,False,True,False,False,True,False
42,0.2852570940900364,0.3257142857142859,0.1875,59.69,0.054054054054054,True,False,False,False,True,False,False,True,True,False
43,0.4730104544484745,0.5428571428571429,0.2291666666666666,58.78,0.054054054054054,False,True,False,True,False,True,False,False,True,False
